Frequency_Hz	Pair_2_Noise_nV	Pair_3_Noise_nV
5.062375	9.039726819426956e-05	0.0001577765763073375
5.07475	0.0001009028718981942	0.00014711803351783012
5.08375	0.00010886524159596166	6.267430546166985e-05
5.087125	9.440531010593789e-05	8.874007950753426e-05
5.0995	7.714327235734817e-05	0.00014094121492827248
5.111875	5.8895831000440096e-05	0.00010596522139839089
5.12425	0.00013942283553277778	6.229976989635594e-05
5.136625	0.0001135282466640686	8.894878440035309e-05
5.145625	8.482943288571013e-05	0.00010421150233039105
5.149	0.00010389473276535053	0.00010744365365080248
5.161375	0.00011330445778162261	8.182859669642148e-05
5.17375	9.844417515767147e-05	0.00011064910316265515
5.186125	0.00011478617373294572	8.100566217395484e-05
5.1985	6.806797217177621e-05	0.00010700382492574553
5.2075	8.886531805910841e-05	0.00012390073722806332
5.210875	8.076433373402891e-05	0.00010311599239613175
5.22325	9.051692055733006e-05	7.704381997305494e-05
5.235625	4.063934236315839e-05	0.00010302514250665417
5.248	0.00015837087787157428	6.28477689856052e-05
5.260375	0.00021310353563512642	7.867684282477341e-05
5.269375	0.00011560808500349748	0.00011568416440107911
5.27275	0.00012814614520668347	0.00012873630108268763
5.285125	7.769882675941767e-05	9.551584130416064e-05
5.2975	8.619734913361548e-05	6.922752207281725e-05
5.309875	0.00017099654869753218	0.00010319572453153038
5.32225	0.00015154577780580064	0.00012994847285584043
5.33125	0.00010019197736738955	0.00010068571101197777
5.334625	8.726326117719931e-05	8.294119667319069e-05
5.347	6.346377399124008e-05	0.00010783997422256554
5.359375	9.04747373779311e-05	0.00013528523945679775
5.37175	6.0182050459766656e-05	0.00011534480527471491
5.384125	6.701764331367077e-05	0.00015379413881047582
5.393125	0.00011084356707222615	0.00011964315453754595
5.3965	0.0001089010309741446	0.0001472263436526276
5.408875	6.898376815052871e-05	0.00013224383377820497
5.42125	6.80363882696539e-05	0.0001160761383154501
5.433625	7.872249478724362e-05	8.686909913602016e-05
5.446	5.917527435542652e-05	9.086716826438689e-05
5.455	0.00010673126617537898	0.00011679779927738194
5.458375	7.691479395998667e-05	7.38494110058144e-05
5.47075	0.00011312984812890849	9.469227064995485e-05
5.483125	7.168630553758437e-05	0.00010667006343298713
5.4955	5.160255749932458e-05	9.400451086943168e-05
5.507875	7.578850902351359e-05	0.0001102228380738452
5.516875	8.702439239031779e-05	8.381173739002431e-05
5.52025	8.643511282310043e-05	6.261189321646488e-05
5.532625	0.00013589425154021453	9.189198181230776e-05
5.545	0.00015351370466013778	9.61131796635092e-05
5.557375	7.541319754823091e-05	0.00010326816105688335
5.56975	9.072196928645674e-05	8.475518294314456e-05
5.57875	9.562430342871628e-05	9.651000643840773e-05
5.582125	6.522573409810349e-05	0.00010702052736043492
5.5945	8.486550486169984e-05	0.00013219504604096592
5.606875	0.00011822003837126334	8.522410477937258e-05
5.61925	0.00011137957275339853	0.00014077734641571276
5.631625	0.00013593864382055752	0.00010247402947099525
5.640625	0.00011480968742051995	0.00010975395429048331
5.644	8.892223916160625e-05	0.00010878376358366859
5.656375	6.34354249681099e-05	0.00019772112969904633
5.66875	0.00010333073935064047	0.0001935816018995607
5.681125	9.729251040135824e-05	0.00016856072618139258
5.6935	9.773889964330425e-05	0.00012409076773867546
5.7025	9.325293123317894e-05	9.185751986220562e-05
5.705875	8.905186662295183e-05	7.696734624979608e-05
5.71825	8.036717033283429e-05	0.0001577221004490823
5.730625	5.696613506725465e-05	8.546930320766631e-05
5.743	0.00010079400894738932	0.0001303071976812348
5.755375	0.00013179755681623655	0.00014779411566882188
5.764375	0.0001026880433671199	5.6523513226513975e-05
5.76775	0.00012068457012476782	9.449493725500641e-05
5.780125	8.012047582937086e-05	0.00014081942395524809
5.7925	6.0889949895246254e-05	0.00017937313731244015
5.804875	6.545810311679449e-05	8.857610986835899e-05
5.81725	0.00010329357342797275	5.7191880214853054e-05
5.82625	0.00012421593057294382	7.436440183187989e-05
