f	noise
8.106625	1.583468e-05
8.115625	1.414716e-05
8.119	1.164935e-05
8.131375	8.072516e-06
8.14375	8.307987e-06
8.156125	7.259213e-06
8.1685	1.597482e-05
8.1775	1.318465e-05
8.180875	1.431606e-05
8.19325	6.276959e-06
8.205625	1.106592e-05
8.218	1.694267e-05
8.230375	1.497743e-05
8.239375	1.109863e-05
8.24275	1.229386e-05
8.255125	1.789342e-05
8.2675	2.011643e-05
8.279875	2.210383e-05
8.29225	1.760944e-05
8.30125	1.545354e-05
8.304625	9.253512e-06
8.317	8.675202e-06
8.329375	1.744548e-05
8.34175	2.055914e-05
8.354125	1.831028e-05
8.363125	1.741432e-05
8.3665	1.471381e-05
8.378875	9.380567e-06
8.39125	8.452712e-06
8.403625	8.988126e-06
8.416	9.940917e-06
8.425	1.137521e-05
8.428375	1.653966e-05
8.44075	1.934773e-05
8.453125	1.669694e-05
8.4655	1.871735e-05
8.477875	1.878233e-05
8.486875	1.481074e-05
8.49025	1.730176e-05
8.502625	1.250932e-05
8.515	8.088627e-06
8.527375	1.153364e-05
8.53975	1.201268e-05
8.54875	1.155061e-05
8.552125	1.459562e-05
8.5645	1.254931e-05
8.576875	8.932232e-06
8.58925	4.144713e-06
8.601625	1.247233e-05
8.610625	1.133864e-05
8.614	1.844978e-05
8.626375	8.680776e-06
8.63875	1.057417e-05
8.651125	1.449119e-05
8.6635	1.701298e-05
8.6725	1.153773e-05
8.675875	1.572523e-05
8.68825	1.635722e-05
8.700625	1.70282e-05
8.713	1.06586e-05
8.725375	1.040643e-05
8.734375	1.336026e-05
8.73775	1.275368e-05
8.750125	1.252355e-05
8.7625	1.56151e-05
8.774875	1.809634e-05
8.78725	1.650434e-05
8.79625	1.309422e-05
8.799625	1.396294e-05
8.812	1.275815e-05
8.824375	1.087842e-05
8.83675	9.940974e-06
8.849125	9.870405e-06
8.858125	1.237215e-05
8.8615	7.755041e-06
8.873875	7.610047e-06
8.88625	1.116861e-05
8.898625	1.217966e-05
8.911	1.261404e-05
8.92	1.513113e-05
8.923375	1.658954e-05
8.93575	1.602252e-05
8.948125	9.073668e-06
8.9605	1.603098e-05
8.972875	1.722431e-05
8.981875	1.100136e-05
8.98525	1.795056e-05
8.997625	1.94068e-05
9.01	9.378352e-06
9.022375	1.046709e-05
9.03475	8.961393e-06
9.04375	1.250989e-05
9.047125	1.473553e-05
9.0595	8.310828e-06
9.071875	8.953957e-06
9.08425	1.073004e-05
9.096625	6.967197e-06
9.105625	1.393139e-05
9.109	1.189864e-05
9.121375	1.642848e-05
9.13375	1.809211e-05
9.146125	1.219251e-05
9.1585	8.040255e-06
9.1675	1.539833e-05
9.170875	1.920322e-05
9.18325	2.001954e-05
9.195625	1.673046e-05
9.208	1.409607e-05
9.220375	5.867692e-06
9.229375	8.984441e-06
9.23275	7.951384e-06
9.245125	9.269723e-06
9.2575	1.071371e-05
9.269875	1.01606e-05
9.28225	1.331648e-05
9.29125	8.919484e-06
9.294625	1.054373e-05
9.307	1.307373e-05
9.319375	2.03449e-05
9.33175	1.18255e-05
9.344125	7.763781e-06
9.353125	1.38603e-05
9.3565	1.241662e-05
9.368875	1.436883e-05
9.38125	1.328178e-05
9.393625	1.340642e-05
9.406	1.21184e-05
9.415	1.435453e-05
9.418375	9.853142e-06
9.43075	1.028168e-05
9.443125	6.846374e-06
9.4555	6.705323e-06
9.467875	7.908768e-06
9.476875	1.304851e-05
9.48025	7.094281e-06
9.492625	8.98229e-06
9.505	9.959098e-06
9.517375	4.692852e-06
9.52975	9.783187e-06
9.53875	1.21022e-05
9.542125	1.584501e-05
9.5545	1.994329e-05
9.566875	1.689249e-05
9.57925	9.023798e-06
9.591625	1.135391e-05
9.600625	1.315706e-05
9.604	1.294202e-05
9.616375	1.527232e-05
9.62875	1.375393e-05
9.641125	1.12184e-05
9.6535	1.372269e-05
9.6625	1.172856e-05
9.665875	1.675947e-05
9.67825	1.737625e-05
9.690625	1.416942e-05
9.703	1.065484e-05
9.715375	9.660156e-06
9.724375	1.206191e-05
9.72775	1.512238e-05
9.740125	1.853184e-05
9.7525	6.893903e-06
9.764875	1.034455e-05
9.77725	9.191959e-06
9.78625	1.129852e-05
9.789625	9.227659e-06
9.802	8.32367e-06
9.814375	1.139516e-05
9.82675	8.353612e-06
9.839125	1.105433e-05
9.848125	1.137826e-05
9.8515	1.246764e-05
9.863875	1.427783e-05
9.87625	1.076311e-05
9.888625	1.413592e-05
9.901	1.982252e-05
9.91	1.118785e-05
9.913375	2.138749e-05
9.92575	1.218879e-05
9.938125	1.148228e-05
9.9505	8.541963e-06
9.962875	1.349141e-05
9.971875	1.325714e-05
9.97525	1.586216e-05
9.987625	1.202653e-05
10.0	1.2382825000000001e-05
10.03375	9.140421e-06
10.09563	1.00375e-05
10.1575	1.294848e-05
10.21938	1.095149e-05
10.28125	1.633195e-05
10.34313	1.330439e-05
10.405	1.354684e-05
10.46688	1.433074e-05
10.52875	9.559204e-06
10.59063	1.51598e-05
10.61875	1.351653e-05
10.6525	1.341829e-05
10.71438	1.433977e-05
10.77625	1.447907e-05
10.83813	1.204937e-05
10.9	1.117171e-05
10.96188	9.755666e-06
11.02375	1.5891e-05
11.08563	1.82294e-05
11.1475	9.247937e-06
11.20938	1.066633e-05
11.2375	1.073241e-05
11.27125	1.030387e-05
11.33313	1.028894e-05
11.395	9.328166e-06
11.45688	1.16483e-05
11.51875	1.466692e-05
11.58063	1.333913e-05
11.6425	1.003413e-05
11.70438	1.043615e-05
11.76625	8.737849e-06
11.82813	1.187573e-05
11.85625	1.23739e-05
11.89	1.441087e-05
11.95188	1.562162e-05
12.01375	1.22999e-05
12.07563	9.337244e-06
12.1375	1.049051e-05
12.19938	1.161865e-05
12.26125	7.75831e-06
12.32313	1.013218e-05
12.385	1.226476e-05
12.44688	1.244101e-05
12.475	1.180217e-05
12.50875	9.29638e-06
12.57063	1.006697e-05
12.6325	1.45253e-05
12.69438	7.660899e-06
12.75625	1.046053e-05
12.81813	1.05244e-05
12.88	8.906893e-06
12.94188	1.282534e-05
13.00375	1.333975e-05
13.06563	9.232027e-06
13.09375	1.125197e-05
13.1275	8.659688e-06
13.18938	1.090855e-05
13.25125	1.050009e-05
13.31313	7.76133e-06
13.375	8.056268e-06
13.43688	8.460489e-06
13.49875	9.306816e-06
13.56063	7.067098e-06
13.6225	8.940082e-06
13.68438	1.126947e-05
13.7125	1.136134e-05
13.74625	1.038809e-05
13.80813	1.127804e-05
13.87	9.412477e-06
13.93188	5.772286e-06
13.99375	7.186416e-06
14.05563	8.635639e-06
14.1175	7.741087e-06
14.17938	6.406139e-06
14.24125	7.909837e-06
14.30313	9.685001e-06
14.33125	1.083604e-05
14.365	1.272227e-05
14.42688	1.355476e-05
14.48875	1.07779e-05
14.55063	1.193443e-05
14.6125	1.287162e-05
14.67438	1.129752e-05
14.73625	1.022812e-05
14.79813	1.000592e-05
14.86	8.8605e-06
14.92188	1.03479e-05
14.95	1.019822e-05
14.98375	8.831975e-06
15.04563	1.226646e-05
15.1075	1.209813e-05
15.16938	6.862958e-06
15.23125	1.1355e-05
15.29313	1.006843e-05
15.355	9.663115e-06
15.41688	9.143666e-06
15.47875	7.716033e-06
15.54063	8.962159e-06
15.56875	1.092048e-05
15.6025	9.939239e-06
15.66438	1.246701e-05
15.72625	1.213159e-05
15.78813	9.516632e-06
15.85	8.754233e-06
15.91188	1.22083e-05
15.97375	1.765879e-05
16.03563	1.695414e-05
16.0975	1.036029e-05
16.15938	9.397904e-06
16.1875	1.014714e-05
16.22125	1.331474e-05
16.28313	1.262463e-05
16.345	9.424306e-06
16.40688	9.694962e-06
16.46875	8.411795e-06
16.53063	1.00531e-05
16.5925	1.058418e-05
16.65438	1.034468e-05
16.71625	9.099308e-06
16.77813	1.089373e-05
16.80625	9.876008e-06
16.84	1.001619e-05
16.90188	8.09992e-06
16.96375	6.638761e-06
17.02563	7.868852e-06
17.0875	1.042714e-05
17.14938	1.049861e-05
17.21125	9.647883e-06
17.27313	1.155733e-05
17.335	1.027051e-05
17.39688	9.152862e-06
17.425	1.004213e-05
17.45875	7.979566e-06
17.52063	1.032318e-05
17.5825	1.063771e-05
17.64438	1.06568e-05
17.70625	9.826603e-06
17.76813	9.806445e-06
17.83	1.348067e-05
17.89188	1.159239e-05
17.95375	1.005336e-05
18.01563	8.58225e-06
18.04375	1.024935e-05
